datetime,predicted_load
2010-11-26 22:00:00,0.8888952403977616
2010-11-26 23:00:00,0.8771156906505752
2010-11-27 00:00:00,0.4099858358446099
2010-11-27 01:00:00,0.3712414872887839
2010-11-27 02:00:00,0.3747453482091171
2010-11-27 03:00:00,0.3805729911492814
2010-11-27 04:00:00,0.40419092125337924
2010-11-27 05:00:00,0.5122947147292829
2010-11-27 06:00:00,0.9702327509610016
2010-11-27 07:00:00,2.348654927505203
2010-11-27 08:00:00,2.177941087810515
2010-11-27 09:00:00,1.8008789838577461
2010-11-27 10:00:00,1.5227211427347391
2010-11-27 11:00:00,1.588023584894238
2010-11-27 12:00:00,1.3689061622198986
2010-11-27 13:00:00,1.277932697590283
2010-11-27 14:00:00,1.200026097821817
2010-11-27 15:00:00,1.1377950101369505
2010-11-27 16:00:00,1.502245091596125
2010-11-27 17:00:00,1.688294542736272
2010-11-27 18:00:00,2.292038969581071
2010-11-27 19:00:00,2.447156229185477
2010-11-27 20:00:00,2.490923070835904
2010-11-27 21:00:00,2.365646029133536
